course,utme_subjects,schools_offering
Geophysics,"AAU, ABU, BAYERO, BENIN, CALABAR, DELSU, EKSU, ILORIN, JOS, KUST, LAGOS, MAIDUGURI, MAKURDI, NASARAWA, NDU, OOU, RSU, UDU, UMUDIKE, UNIZIK, UNN, UYO","Physics, Mathematics and Chemistry"
Exploration Geophysics,"FUTO, MINNA, OAU, UNN","Physics, Mathematics and Chemistry"
Marine Geophysics,"LAGOS","Physics, Mathematics and Chemistry"
Physics with Geophysics,"LASU","Physics, Mathematics and Chemistry"
Geoscience and Technology,"MAKURDI","Physics, Mathematics and Chemistry"
Applied Geoscience,"NDU","Physics, Mathematics and Chemistry"
Geology and Geophysics,"IBADAN, UNN","Physics, Mathematics and Chemistry"
Earth Sciences,"ABUJA, UNICAL, UNILORIN, UNN","Physics, Mathematics and Chemistry"
Applied Earth Sciences,"FUTA","Physics, Mathematics and Chemistry"
Environmental Geoscience,"BAYERO, UNILORIN","Physics, Mathematics and Chemistry"
Geological Sciences,"UNN","Physics, Mathematics and Chemistry"
Geophysics and Petroleum Studies,"ABUAD","Physics, Mathematics and Chemistry"
Petroleum Geoscience,"IBADAN","Physics, Mathematics and Chemistry"
Geological Engineering,"UNN","Physics, Mathematics and Chemistry"
Hydrogeology,"MINNA","Physics, Mathematics and Chemistry"
Geology and Hydrogeology,"OAU","Physics, Mathematics and Chemistry"
Exploration and Mining Geology,"BAUCHI","Physics, Mathematics and Chemistry"
Engineering Geology,"ABU, UNN","Physics, Mathematics and Chemistry"
Applied Mineralogy,"UNN","Physics, Mathematics and Chemistry"
Computer Science,"AAU, AAUA, ABU, ABUAD, ABUJA, ABSU, ACHIEVERS, ADSU, AJAYI, AKSU, AL-ANSAR, AL-HIKMAH, AL-QALAM, ANCHOR-UNI, ARTHUR-JARVIS, ATIBA, AUE, AUGUSTINE, BABCOCK, BASU, BAUCHI, BAYERO, BAZE, BENIN, BINGHAM, BIU, BOSU, BOWEN, BSU, CALEB, CARITAS, CHRISLAND, CLIFFORD, COAL-CITY, COOU, COVENANT, CRAWFORD, CROWN-HILL, CRUTECH, CUAB, CUST, DELSU, EBSU, EDWIN CLARK, EKO-UNI, EKSU, ELIZADE, EUI, EVANGEL, FED-DUTSE, FED-DUTSINMA, FED-GASHUA, FED-GUSAU, FED-KASHERE, FED-LAFIA, FED-LOKOJA, FED-OTUOKE, FED-OYE EKITI, FED-WUKARI, FOUNTAIN, FUHSO, FUHS-ILA, FUNAAB, FUTA, FUTIA, FUTO, GOUU, GREGORY, GSU, GSUST, HALLMARK, IAUED, IBADAN, IGBINEDION, ILORIN, IMSU, JABU, JOS, KASU, KASU-KABBA, KOLADAISI, KSUSTA, KUST, KWASU, LAGOS, LANDMARK, LAPAI, LASU, LASUSTECH, LAUTECH, LCITY, LEGACY, MAIDUGURI, MAKURDI, MAUTY, MCPHERSON, MINNA, MKAR, MOUNTAIN TOP, NASARAWA, NDU, NILE, NOVENA, OAU, ODUDUWA, OSUMS, OAUSTECH, OOU, PAUL, PHC, PLASU, POL-ACAD, REDEEMERS, RENAISSANCE, RSU, SALEM, SAU, SOUTHWESTERN, SPIRITAN, SUMMIT, TANSIAN, TECH-IBADAN, UDA, UDU, UMUDIKE, UMYUK, UNI-ILESA, UNIKINGS, UNIOSUN, UNIZIK, UNN, UYO, VERITAS, WESLEYUNI, WESTERN-DEL, YSU, ZAMFARA","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Computer with Electronics,"BAYERO, BENIN, IGBINEDION, OAU","Mathematics, Physics and Chemistry"
Computer Science and Mathematics,"ABU, DELSU, FED-LOKOJA, LAGOS, MAKURDI, UNIZIK","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Computer Science and Statistics,"ABU, CALABAR, DELSU, FED-LOKOJA, MAKURDI, UNIZIK","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Computer Science and Economics,"LAGOS, MAKURDI","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Computer Science and Informatics,"FED-OTUOKE, NOVENA","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Computer Science and Information Science,"LEAD CITY, LAGOS","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Computer Science and Software Engineering,"REDEEMERS, CRAWFORD","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Computer Science and Information Technology,"ABUJA, ILORIN","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Information and Communication Technology,"FUNAAB, FUTMINNA, RSU, UNIOSUN","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Information Technology,"ABUJA, COVENANT, BELLS, BOWEN, UNIOSUN","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Information Systems,"BOWEN, COVENANT, NOVENA","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Software Engineering,"ABUJA, COVENANT, BOWEN, BELLS, UNIOSUN","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Cyber Security,"ABUJA, ABUAD, FUTA, COVENANT, BOWEN, BELLS, UNIOSUN","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Cyber Security Science,"MINNA, FUTMINNA, FUTA","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Computer Engineering,"ABU, ABUJA, ABUAD, BENIN, BOWEN, COVENANT, FUTA, FUTMINNA, ILORIN, LAGOS, LAUTECH, MAIDUGURI, MINNA, OAU, UNIBEN, UNILORIN, UNN","Mathematics, Physics and Chemistry"
Artificial Intelligence,"NOVENA","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Data Science,"BAYERO, UNILORIN, UNIOSUN","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Big Data and Analytics,"NOVENA","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"
Computer Information Science,"LAGOS, NOVENA","Mathematics, Physics and one of Biology, Chemistry, Agric Science, Economics or Geography"





